id,name,description,no,element_id,rarity_id,base_hp,base_atk,base_def,base_rec,ls_id,bb_id,numhits,created_at,updated_at,slug,realname,cost,max_lvl,max_hp,max_atk,max_def,max_rec,a_hp,a_rec,b_atk,b_def,g_atk,g_def,o_hp,o_rec,sbb,sbb_hits,bb_refill,bb_hits,Leader Skill,Brave Burst,bb_type_id,Unit_Category_id
14,Earth Pike Lance,,11,6,4,3173,1188,1162,612,,11,4,47:45.7,25:30.2,earth-pike-lance,Lance,8,60,3173,1188,1162,612,3594,489,1308,1045,1065,1281,2727,729,,0,0,5,Earth God's Power,Mystral Rage,1,26
15,Nature God Lance,"A pikeman from the ruined Principality of Vriksha, and one of the six heroes. After releasing the World Tree he wasn't seen until the battle with the gods began. His Demon Pike Drevas had awoken, and its blade now carried the strength of the World Tree. He took on the gods with his own might, refusing to align himself with any military entity.",12,6,5,3894,1373,1378,805,,12,4,47:45.7,04:55.2,nature-god-lance,Lance,10,80,3894,1373,1378,805,4476,652,1525,1219,1223,1538,3301,960,,0,0,6,Earth God's Power,Eternal Zephyr,1,26
16,Warrior Eze,,13,5,2,,,,,,13,1,47:45.7,13:46.3,warrior-eze,,2,12,,,,,,,,,,,,,,,,,Thunder Spirit's Power,Thunder Explosion,1,26
17,Thunder Eze,,14,5,3,2749,1007,687,426,,14,1,47:45.7,25:30.2,thunder-eze,Eze,4,40,2749,1007,687,426,3053,350,1085,615,937,754,2453,504,,0,0,2,Thunder Spirit's Power,Thunder Execution,1,26
18,Thunder King Eze,,15,5,4,3509,1294,838,565,,15,2,47:45.7,25:30.2,thunder-king-eze,Eze,8,60,3509,1294,838,565,3950,452,1417,733,1184,951,3224,733,,0,0,5,Thunder God's Power,Thunder Retribution,1,26
19,Thunder God Eze,"A warrior from the ruined Atharva Republic. One of the six heroes and said to have fought the gods wielding Thunder Sword Batootha. During the great war with the gods, he decimated his enemies with elusive speed and devastating thunder blows, despite the ridiculous odds he was up against. The epic tale of him saving Goddess Emilia is still held as a timeless tale.",16,5,5,4233,1460,1006,770,,16,3,47:45.7,04:55.3,thunder-god-eze,Eze,10,80,4233,1460,1006,770,4812,611,1623,848,1296,1160,3624,937,,0,0,7,Thunder God's Power,Heavenly Thunder,1,26
20,Squire Atro,,17,3,2,,,,,,17,1,47:45.7,13:46.4,squire-atro,,2,12,,,,,,,,,,,,,,,,,Light Spirit's Power,Divine Sword,1,26
21,Knight Atro,,18,3,3,2397,910,910,910,,18,1,47:45.7,25:30.2,knight-atro,Atro,4,40,2397,910,910,910,2675,828,987,827,834,998,2105,983,,0,0,3,Light Spirit's Power,Cardinal Judgement,1,26
22,Holy Knight Atro,,19,3,4,3014,1104,1104,1104,,19,2,47:45.7,25:30.2,holy-knight-atro,Atro,8,60,3014,1104,1104,1104,3453,983,1219,989,988,1227,2591,1211,,0,0,4,Light God's Power,Thousand Nemesis,1,26
23,Goddess Atro,"A swordsman from the ruined La Veda Republic. One of the Six Heroes, he faced the great battle with the gods wielding the Light Sword Urias. He struggled with whether or not to fight the gods, but finally decided to when they destroyed the monastery he grew up in. He cut down the gods in a rage, breaking with his former reputation as a graceful master swordsman.",20,3,5,3730,1325,1325,1325,,20,3,47:45.7,04:55.3,god-atro,Atro,10,80,3730,1325,1325,1325,4314,1146,1488,1176,1178,1497,3142,1485,,0,0,5,Light God's Power,Messiah Hazzard,1,26
24,Iron Magress,,21,4,2,,,,,,21,1,47:45.7,13:46.4,iron-magress,,2,12,,,,,,,,,,,,,,,,,Dark Spirit's Power,Guilty Ash,1,26
25,Heavy Magress,,22,4,3,3245,826,956,422,,22,1,47:45.8,25:30.3,heavy-magress,Magress,4,40,3245,826,956,422,3533,339,894,879,746,1045,3129,539,,0,0,4,Dark Spirit's Power,Gravity Eclipse,1,26
26,Black Magress,,23,4,4,3979,995,1190,572,,23,2,47:45.8,25:30.3,black-magress,Magress,8,60,3979,995,1190,572,4439,453,1118,1067,882,1304,3545,747,,0,0,4,Dark God's Power,Void Pillar,1,26
27,Death Magress,,24,4,5,4875,1198,1400,755,,24,3,47:45.8,25:30.3,death-magress,Magress,10,80,4875,1198,1400,755,5457,597,1358,1240,1042,1557,4274,906,,0,0,6,Dark God's Power,Vermillion Tower,1,26
28,Beast Zegar,,25,1,2,,,,,,25,2,47:45.8,13:46.4,beast-zegar,,3,30,,,,,,,,,,,,,,,,,Intense Light,Fire Claw Attack,1,1
29,Rage Beast Zegar,,26,1,3,3260,1013,634,538,,26,4,47:45.8,25:30.3,rage-beast-zegar,Zegar,5,40,3260,1013,634,538,0,0,1097,556,929,714,2964,616,,0,0,5,Intense Flash,Fire Spring Attack,1,1
30,Fire Beast Zegar,,27,1,4,4008,1245,758,677,,27,7,47:45.8,25:30.3,fire-beast-zegar,Zegar,9,60,4008,1245,758,677,4456,564,1359,647,1118,869,3564,803,,0,0,7,Intense Strobe,Hell Twins Attack,1,1
31,Zephu,,28,2,2,,,,,,28,3,47:45.8,13:46.4,zephu,,3,30,,,,,,,,,,,,,,,,,Intense Light,Raising Needle,1,1
32,Knight Zephu,,29,2,3,3435,1095,660,419,,29,4,47:45.8,25:30.3,knight-zephu,Zephu,5,40,3435,1095,660,419,3722,338,1169,585,1017,744,3131,507,,0,0,5,Intense Flash,Raising Ballad,1,1
33,Dragoon Zephu,,30,2,4,4140,1190,792,556,,30,5,47:45.8,25:30.4,dragoon-zephu,Zephu,9,60,4140,1190,792,556,4576,439,1314,669,1200,908,3690,663,,0,0,6,Intense Strobe,Raising Glory,1,1
34,Archer Lario,,31,6,2,,,,,,31,3,47:45.8,13:46.4,archer-lario,,3,30,,,,,,,,,,,,,,,,,Fighting Light,Carnage Sky,1,1
35,Marksman Lario,,32,6,3,3515,865,801,1064,,32,3,47:45.8,25:30.4,marksman-lario,Lario,5,40,3515,865,801,1064,3813,971,940,728,789,875,3244,1139,,0,0,3,Fighting Flash,Superior Needle,1,1
36,Hawkeye Lario,,33,6,4,4249,963,899,1512,,33,6,47:45.8,25:30.4,hawkeye-lario,Lario,9,60,4249,963,899,1512,4693,1384,1133,759,847,1020,4359,1625,,0,0,6,Fighting Strobe,Shooting Star,1,1
37,Advisor Weiss,,34,5,2,,,,,,34,3,47:45.8,13:46.4,advisor-weiss,,3,30,,,,,,,,,,,,,,,,,Fighting Light,Thunder's Command,3,1
38,Strategist Weiss,,35,5,3,3630,824,715,1425,,35,5,47:45.8,25:30.4,strategist-weiss,Weiss,5,40,3630,824,715,1425,3927,1346,905,623,758,786,0,0,,0,0,0,Fighting Flash,Thunder's Rage,3,1
39,Commander Weiss,,36,5,4,4326,925,826,1740,,36,6,47:45.8,25:30.4,commander-weiss,Weiss,9,60,4326,925,826,1740,4789,1607,1043,701,803,945,3893,1859,,0,0,0,Fighting Strobe,Thunder's Reign,3,1
40,Luna,,37,3,2,,,,,,37,2,47:45.8,13:46.4,luna,,3,30,,,,,,,,,,,,,,,,,Fighting Light,Rude Thrust,1,1
41,Sunshine Luna,,38,3,3,2508,1040,1040,502,,38,3,47:45.8,25:30.4,sunshine-luna,Luna,5,40,2508,1040,1040,502,2814,412,1107,964,956,1118,2216,583,,0,0,3,Fighting Flash,Crude Stab,1,1
42,Holy Queen Luna,,39,3,4,2840,1280,1290,634,,39,4,47:45.8,25:30.4,holy-queen-luna,Luna,9,60,2840,1280,1290,634,3273,521,1400,1169,1156,1413,2390,758,,0,0,4,Fighting Strobe,Vulgar Jab,1,1
43,Mifune,,40,4,2,,,,,,40,2,47:45.8,13:46.4,mifune,,3,30,,,,,,,,,,,,,,,,,Intense Light,Special Moonbeam,1,1
44,Samurai Mifune,,41,4,3,2540,1131,533,600,,41,3,47:45.8,25:30.4,samurai-mifune,Mifune,5,40,2540,1131,533,600,2830,526,1212,459,1099,608,2242,676,,0,0,3,Intense Flash,Special Swordflash,1,1
45,God Blade Mifune,,42,4,4,2993,1472,659,728,,42,4,47:45.8,25:30.4,god-blade-mifune,Mifune,9,60,2993,1472,659,728,3448,610,1575,557,1366,771,2562,854,,0,0,4,Intense Strobe,Special Aurora Flash,1,1
46,Burny,,43,1,1,,,,,,43,,47:45.8,13:46.5,burny,,1,10,,,,,,,,,,,,,,,,,,Gnawing Flame,1,2
47,King Burny,,44,1,2,,,,,,44,,47:45.8,13:46.5,king-burny,,3,30,,,,,,,,,,,,,,,,,Fire's Protection,Flame Munch,1,2
48,Squirty,,45,2,1,,,,,,45,,47:45.8,13:46.5,squirty,,1,10,,,,,,,,,,,,,,,,,,Gnawing Water,1,2
49,King Squirty,,46,2,2,,,,,,46,,47:45.8,13:46.5,king-squirty,,3,30,,,,,,,,,,,,,,,,,Water's Protection,Water Munch,1,2
50,Mossy,,47,6,1,,,,,,47,,47:45.8,13:46.5,mossy,,1,10,,,,,,,,,,,,,,,,,,Gnawing Wood,1,2
51,King Mossy,,48,6,2,,,,,,48,,47:45.8,13:46.5,king-mossy,,3,30,,,,,,,,,,,,,,,,,Earth's Protection,Wood Munch,1,2
52,Sparky,,49,5,1,,,,,,49,,47:45.8,13:46.5,sparky,,1,10,,,,,,,,,,,,,,,,,,Gnawing Shock,1,2
53,King Sparky,,50,5,2,,,,,,50,,47:45.9,13:46.5,king-sparky,,3,30,,,,,,,,,,,,,,,,,Thunder's Protection,Shock Munch,1,2
54,Glowy,,51,3,1,,,,,,51,,47:45.9,13:46.5,glowy,,1,10,,,,,,,,,,,,,,,,,,Gnawing Photon,1,2
55,King Glowy,,52,3,2,,,,,,52,,47:45.9,13:46.5,king-glowy,,3,30,,,,,,,,,,,,,,,,,Light's Protection,Photon Munch,1,2
56,Gloomy,,53,4,1,,,,,,53,,47:45.9,13:46.5,gloomy,,1,10,,,,,,,,,,,,,,,,,,Gnawing Shadow,1,2
57,King Gloomy,,54,4,2,,,,,,54,,47:45.9,13:46.5,king-gloomy,,3,30,,,,,,,,,,,,,,,,,Dark's Protection,Shadow Munch,1,2
58,Witch Liza,,55,1,1,,,,,,55,3,47:45.9,13:46.5,witch-liza,,2,15,,,,,,,,,,,,,,,,,Fire's Protection,Eruption,1,3
59,Warlock Liza,,56,1,2,,,,,,56,5,47:45.9,13:46.5,warlock-liza,,4,30,,,,,,,,,,,,,,,,,Fire's Protection,Explosion,1,3
60,Priest Merith,,57,2,1,,,,,,57,3,47:45.9,13:46.5,priest-merith,,2,15,,,,,,,,,,,,,,,,,Water's Protection,Curing,2,3
61,Healer Merith,,58,2,2,,,,,,58,5,47:45.9,13:46.5,healer-merith,,4,30,,,,,,,,,,,,,,,,,Water's Protection,Cure Light,2,3
62,Geomancer Claris,,59,6,1,,,,,,59,3,47:45.9,13:46.5,geomancer-claris,,2,15,,,,,,,,,,,,,,,,,Earth's Protection,Earth's Water,2,3
63,Time Mage Claris,,60,6,2,,,,,,60,5,47:45.9,13:46.5,time-mage-claris,,4,30,,,,,,,,,,,,,,,,,Earth's Protection,Arcanadia,2,3
64,Dancer May,,61,5,1,,,,,,61,3,47:45.9,13:46.5,dancer-may,,2,15,,,,,,,,,,,,,,,,,Thunder's Protection,Thunder Dance,2,3
65,High Dancer May,,62,5,2,,,,,,62,5,47:45.9,13:46.5,high-dancer-may,,4,30,,,,,,,,,,,,,,,,,Thunder's Protection,Cure Drill,2,3
66,Sage Mimir,,63,3,1,,,,,,63,3,47:45.9,13:46.5,sage-mimir,,2,15,,,,,,,,,,,,,,,,,Light's Protection,Milky Way,2,3
67,Light Lord Mimir,,64,3,2,,,,,,64,5,47:45.9,53:53.2,light-lord-mimir,,4,30,,,,,,,,,,,,,,,,,Light's Protection,Saint Benediction,2,3
68,Sorceress Lily,,65,4,1,,,,,,65,3,47:45.9,13:46.5,sorceress-lily,,2,15,,,,,,,,,,,,,,,,,Dark's Protection,Albatross' Glory,1,3
69,Magician Lily,,66,4,2,,,,,,66,5,47:45.9,13:46.5,magician-lily,,4,30,,,,,,,,,,,,,,,,,Dark's Protection,Soul Intention,1,3
70,Goblin,,67,1,1,,,,,,67,1,47:45.9,13:46.5,goblin,,2,12,,,,,,,,,,,,,,,,,,Goblin Attack,1,4
71,Redcap,,68,1,2,,,,,,68,1,47:45.9,13:46.5,redcap,,4,30,,,,,,,,,,,,,,,,,Fighting Light,Red Strike,1,4
72,Merman,,69,2,1,,,,,,69,2,47:45.9,13:46.6,merman,,2,12,,,,,,,,,,,,,,,,,,Spiral Lance,1,4
73,Sahuagin,,70,2,2,,,,,,70,4,47:45.9,13:46.6,sahuagin,,4,30,,,,,,,,,,,,,,,,,Fighting Light,Dancing Charge,1,4
74,Mandragora,,71,6,1,,,,,,71,3,47:45.9,13:46.6,mandragora,,2,12,,,,,,,,,,,,,,,,,,Power Scream,3,4
75,Polevik,,72,6,2,,,,,,72,4,47:45.9,13:46.6,polevik,,4,30,,,,,,,,,,,,,,,,,Earth's Protection,Power Intension,3,4
76,Harpy,,73,5,1,,,,,,73,3,47:45.9,13:46.6,harpy,,2,12,,,,,,,,,,,,,,,,,,Wind Armor,3,4
77,Aero,,74,5,2,,,,,,74,6,47:45.9,13:46.6,aero,,4,30,,,,,,,,,,,,,,,,,Soul Light,Wind Protection,3,4
78,Angel,,75,3,1,,,,,,75,1,47:45.9,13:46.6,angel,,2,12,,,,,,,,,,,,,,,,,,Light Sword,1,4
79,Archangel,,76,3,2,,,,,,76,2,47:45.9,13:46.6,archangel,,4,30,,,,,,,,,,,,,,,,,Pure Ligh,Blessed Sword,1,4
80,Skeleton,,77,4,1,,,,,,77,2,47:45.9,13:46.6,skeleton,,2,12,,,,,,,,,,,,,,,,,,Bone Smash,1,4
81,Skeleton King,,78,4,2,,,,,,78,2,47:46.0,13:46.6,skeleton-king,,4,30,,,,,,,,,,,,,,,,,Soul Light,Vorpal Shock,1,4
82,Thief Leon,,79,1,2,,,,,,79,4,47:46.0,13:46.6,thief-leon,,3,30,,,,,,,,,,,,,,,,,Abundant Light,Poison Gale,1,5
83,Head Thief Leon,,80,1,3,2892,905,905,935,,80,6,47:46.0,25:30.5,head-thief-leon,Leon,6,40,2892,905,905,935,3184,850,985,834,0,0,2597,1008,,0,0,6,Abundant Flash,Venom Gale,1,5
84,Pirate Verica,,81,2,2,,,,,,81,2,47:46.0,13:46.6,pirate-verica,,3,30,,,,,,,,,,,,,,,,,Pure Light,Crazy Slash,1,5
85,Plunderer Verica,,82,2,3,3155,959,800,552,,82,4,47:46.0,25:30.5,plunderer-verica,Verica,6,40,3155,959,800,552,0,0,1030,722,886,875,3035,670,,0,0,4,Pure Shining,Maximum VWater,1,5
86,Bandit Zaza,,83,6,2,,,,,,83,4,47:46.0,13:46.6,bandit-zaza,,3,30,,,,,,,,,,,,,,,,,Intense Light,Great Beheading,1,5
87,Head Bandit Zaza,,84,6,3,2700,1008,952,405,,84,5,47:46.0,25:30.5,head-bandit-zaza,Zaza,6,40,2700,1008,952,405,2991,326,1109,857,907,1047,2430,446,,0,0,5,Intense Flash,Warrior's Execution,1,5
88,Sky Pirate Grafl,,85,5,2,,,,,,85,3,47:46.0,13:46.6,sky-pirate-grafl,,3,30,,,,,,,,,,,,,,,,,Fighting Light,Lightning Magnum,1,5
89,Sky Boss Grafl,,86,5,3,2700,1008,952,405,,86,6,47:46.0,25:30.5,sky-boss-grafl,Grafl,6,40,2700,1008,952,405,2991,328,1086,872,923,1032,2402,491,,0,0,9,Fighting Flash,Chariot Magnum,1,5
90,Orthos,,87,1,2,,,,,,87,2,47:46.0,13:46.6,orthos,,2,30,,,,,,,,,,,,,,,,,,Heat Bite,1,6
91,Cerberus,,88,1,3,0,0,0,0,,88,3,47:46.0,25:30.5,cerberus,Orthos,5,40,0,0,0,0,2610,0,964,0,0,806,0,455,,0,0,3,Soul Light,Keeper Fang,1,6
92,Ramia,,89,2,2,,,,,,89,2,47:46.0,13:46.6,ramia,,2,30,,,,,,,,,,,,,,,,,,Snake Ripsaw,1,6
93,Scylla,,90,2,3,3100,0,0,0,,90,4,47:46.0,25:30.5,scylla,Ramia,5,40,3100,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,Soul Light,Cold Torture,1,6
94,Fairy,,91,6,2,,,,,,91,3,47:46.0,13:46.6,fairy,,2,30,,,,,,,,,,,,,,,,,,Spirit's Song,2,6
95,Titania,,92,6,3,2414,910,634,1050,,92,4,47:46.0,25:30.5,titania,Fairy,5,40,2414,910,634,1050,2848,969,987,552,844,712,2116,1125,,0,8,0,Loving Spirit,Peaceful Hymn,2,6
96,Minotaur,,93,5,2,,,,,,93,1,47:46.0,13:46.6,minotaur,,2,30,,,,,,,,,,,,,,,,,,All Out Attack,1,6
97,Cyclops,,94,5,3,0,0,0,0,,94,3,47:46.0,25:30.5,cyclops,Minotaur,5,40,0,0,0,0,3216,0,979,0,0,655,0,396,,0,0,4,Soul Light,Destructive Attack,1,6
98,Unicorn,,95,3,2,,,,,,95,5,47:46.0,13:46.6,unicorn,,3,30,,,,,,,,,,,,,,,,,,Mirage Horn,1,6
99,Pegasus,,96,3,3,2777,865,865,938,,96,5,47:46.0,25:30.5,pegasus,Unicorn,6,40,2777,865,865,938,2820,0,946,792,792,946,0,1007,,0,0,7,Pure Shining,Tornado Charge,1,6
100,Medusa,,97,4,2,,,,,,97,3,47:46.0,13:46.6,medusa,,3,30,,,,,,,,,,,,,,,,,Soul Light,Golgon Eye,1,6
101,Zahhak,,98,4,3,3239,826,981,660,,98,5,47:46.0,25:30.5,zahhak,Medusa,6,40,3239,826,981,660,3531,589,900,903,753,1066,2960,735,,0,0,4,Soul Flash,Black Snake Heart,1,6
102,Salamander,,99,1,2,,,,,,99,3,47:46.0,13:46.7,salamander,,2,30,,,,,,,,,,,,,,,,,,Blaze Force,3,7
103,Ifrit,,100,1,3,2857,0,0,502,,100,6,47:46.0,25:30.6,ifrit,Salamander,4,40,2857,0,0,502,0,0,982,808,699,966,0,0,,0,0,0,Fighting Light,Hell Blaze,3,7
104,Rantoul,,101,2,2,,,,,,101,3,47:46.0,13:46.7,rantoul,,2,30,,,,,,,,,,,,,,,,,,Recure Rise,2,7
105,Legtos,,102,2,3,0,0,0,0,,102,5,47:46.0,25:30.6,legtos,Rantoul,4,40,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Pure Light,Life Breath,2,7
106,Trent,,103,6,2,,,,,,103,3,47:46.0,13:46.7,trent,,2,30,,,,,,,,,,,,,,,,,,Terra Firma,1,7
107,Ent,,104,6,3,0,0,0,0,,104,5,47:46.0,25:30.6,ent,Trent,4,40,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,Soul Light,Grand Storm,1,7
108,Sylph,,105,5,2,,,,,,105,3,47:46.0,13:46.7,sylph,,2,30,,,,,,,,,,,,,,,,,,Soul Feathers,3,7
109,Djin,,106,5,3,2300,845,966,670,,106,5,47:46.0,25:30.6,djin,Sylph,4,40,2300,845,966,670,0,0,0,0,0,0,0,0,,0,0,0,Fighting Light,Lost Soul Crystal,3,7
110,Priestess Maria,,107,3,2,,,,,,107,3,47:46.1,13:46.7,priestess-maria,,2,30,,,,,,,,,,,,,,,,,Loving Spirit,Holy Prayer,2,7
111,Angel Maria,,108,3,3,2540,878,819,1030,,108,5,47:46.1,25:30.6,angel-maria,Maria,4,40,2540,878,819,1030,2822,947,953,740,807,896,2249,1110,,0,0,0,Loving Spirit,Saint's Gospel,2,7
112,Lilin,,109,4,2,,,,,,109,6,47:46.1,13:46.7,lilin,,2,30,,,,,,,,,,,,,,,,,Pure Light,Monster Dance,3,7
113,Succubus,,110,4,3,2445,792,798,804,,110,6,47:46.1,25:30.6,succubus,Lilin,4,40,2445,792,798,804,2739,730,0,0,0,0,0,0,,0,0,0,Pure Light,Demon Kiss,3,7
114,Firedrake,,111,1,3,3375,660,951,465,,111,3,47:46.1,25:30.6,firedrake,Graven,5,40,3375,660,951,465,0,0,749,872,586,1135,0,0,,0,0,3,Fire's Protection,Fire Breath,1,8
115,Dragon Graven,,112,1,4,4220,917,1242,765,,112,5,47:46.1,25:30.6,dragon-graven,Graven,8,60,4220,917,1242,765,4647,651,1040,1126,788,1356,3812,885,,0,0,5,Fire's Protection,Mega Breath,1,8
116,Undine,,113,2,3,0,0,0,0,,113,3,47:46.1,25:30.7,undine,Siren,5,40,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,Water's Protection,Prism Shower,3,8
117,Siren,,114,2,4,4213,904,1256,780,,114,5,47:46.1,25:30.7,siren,Siren,8,60,4213,904,1256,780,4683,671,1022,1130,793,1384,4041,949,,0,0,0,Water's Protection,Miracle Shower,3,8
118,Dryad,,115,6,3,3150,624,998,700,,115,3,47:46.1,25:30.7,dryad,Elf,5,40,3150,624,998,700,0,0,0,0,550,1083,0,0,,0,0,0,Earth's Protection,Manalight Circle,3,8
119,High Elf,,116,6,4,3975,891,1283,1050,,116,5,47:46.1,25:30.7,high-elf,Elf,8,60,3975,891,1283,1050,4419,929,1014,1156,776,1404,0,0,,0,0,0,Earth's Protection,Elemental Wall,3,8
120,Thunderbird,,117,5,3,3064,715,721,750,,117,3,47:46.1,25:30.7,thunderbird,Ziz,5,40,3064,715,721,750,3347,675,801,636,642,799,0,0,,0,0,5,Thunder's Protection,Thunderstorm,1,8
121,Great Falcon Ziz,,118,5,4,3824,983,990,945,,118,4,47:46.1,25:30.7,great-falcon-ziz,Ziz,8,60,3824,983,990,945,4177,850,0,0,882,1097,3715,1056,,0,0,5,Thunder's Protection,Valza Riser,1,8
122,Valkyrie,,119,3,3,0,0,0,0,,119,4,47:46.1,25:30.7,valkyrie,Athena,5,40,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,5,Light's Protection,Sar Air Raid,1,8
123,Sky Hero Athena,,120,3,4,3245,1202,1215,750,,120,6,47:46.1,25:30.7,sky-hero-athena,Athena,8,60,3245,1202,1215,750,3684,624,1323,1088,0,0,2938,863,,0,0,7,Light's Protection,Valkyrie Tempest,1,8
124,Vampire,,121,4,3,3079,697,735,817,,121,3,47:46.1,25:30.8,vampire,Lich,5,40,3079,697,735,817,0,0,0,0,0,0,0,0,,0,0,3,Dark's Protection,Blood Gluttony,1,8
125,Lich,,122,4,4,3855,970,1011,1013,,122,5,47:46.1,25:30.8,lich,Lich,8,60,3855,970,1011,1013,4303,905,1086,900,860,1125,3675,1201,,0,0,5,Dark's Protection,Abyss Gale,1,8
126,Knight Agni,,123,1,3,3720,1036,726,490,,123,8,47:46.1,25:30.8,knight-agni,Agni,5,40,3720,1036,726,490,4009,418,1113,640,867,807,3432,563,,0,0,8,Valiant Power,Dragon's Expulsion,1,9
127,Fire Knight Agni,,124,1,4,4346,1260,937,687,,124,8,47:46.1,25:30.8,fire-knight-agni,Agni,8,60,4346,1260,937,687,4798,565,1378,824,1134,1058,3924,805,,0,0,9,Royal Power,Dragon's Execution,1,9
128,Knight Sergio,,125,2,3,3375,900,816,870,,125,2,47:46.1,25:30.8,knight-sergio,Sergio,5,40,3375,900,816,870,3679,794,979,745,822,892,3081,951,,0,0,5,Valiant Power,Frigid Combo,1,9
129,Ice Ruler Sergio,,126,2,4,4099,1096,1064,1068,,126,5,47:46.1,25:30.8,water-ruler-sergio,Sergio,8,60,4099,1096,1064,1068,4516,945,1211,942,973,1183,3638,1192,,0,0,7,Royal Power,Royal Water Blade,1,9
130,Princess Lidith,,127,6,3,3382,1001,721,1125,,127,6,47:46.1,25:30.8,princess-lidith,Lidith,5,40,3382,1001,721,1125,0,0,1128,614,919,722,2778,1208,,0,0,6,Valiant Power,Royal SlWater,1,9
131,Queen Lidith,,128,6,4,3585,1179,845,1425,,128,8,47:46.1,25:30.8,queen-lidith,Lidith,8,60,3585,1179,845,1425,4013,1306,1298,798,1060,957,3163,1539,,0,0,8,Royal Power,Royal Slash,1,9
132,Sky Knight Falma,,129,5,3,3450,955,770,763,,129,5,47:46.1,25:30.8,sky-knight-falma,Falma,5,40,3450,955,770,763,3739,692,1134,688,877,848,3157,848,,0,0,5,Valiant Power,Flash Stream,1,9
133,Sky King Falma,,130,5,4,4025,1198,1020,1095,,130,7,47:46.1,25:30.8,sky-king-falma,Falma,8,60,4025,1198,1020,1095,4456,982,1315,901,1078,1135,3603,1213,,0,0,7,Royal Power,Dual Arch,1,9
134,Cowboy Heidt,,131,3,3,3240,1013,897,523,,131,5,47:46.1,25:30.8,cowboy-heidt,Heidt,5,40,3240,1013,897,523,3531,444,1085,817,933,971,3093,636,,0,0,5,Valiant Power,Holy Ray,1,9
135,Holy Shot Heidt,,132,3,4,3745,1232,1105,675,,132,10,47:46.1,25:30.9,holy-shot-heidt,Heidt,8,60,3745,1232,1105,675,4190,545,1349,996,1116,1227,3295,796,,0,0,10,Royal Power,Star Children,1,9
